Question,Answer
What are the required documents for Renewal of a License to Practice as a Doctor service?,Recent Continuous Medical Education (CME) (40); Valid Insurance Against Medical Faults; Valid Labor Card; Valid National Identity Card; Valid Visa Copy; Recent Medical Report (for those who are aged above 60).
What are the fees for the Registration of a Medical Equipment service?,"Application: AED 100; Registration of a medical device: AED 5,000"
What is the processing time for the Registration of a Medical Equipment service?,45 working days
What are the requirements for Registration of a Medical Equipment service?,Marketing Authorization Holder companies and product manufacturing sites must be registered in MOHAP prior to the registration of their products. The applicant must be a medical warehouse or marketing office licensed by the Ministry of Health and Prevention and must hold a valid license.
What are the fees for the Renewal of Registration of Medical Equipment service?,"Application: AED 100; Renewal of the registration of a medical device: AED 2,500"
What is the processing time for the Renewal of Registration of Medical Equipment service?,15 working days
What are the requirements for Renewal of Registration of Medical Equipment service?,Marketing Authorization Holder companies must be registered by MOHAP before they could register their products; The applicant must be a medical warehouse licensed by the Ministry of Health and have a valid license.
What are the fees for the Issue of a Certificate of a Pharmaceutical Product for Export service?,"Certificate for an export pharmaceutical product: AED 1,000"
What is the processing time for the Issue of a Certificate of a Pharmaceutical Product for Export service?,5 working days
What are the requirements for the Issue of a Certificate of a Pharmaceutical Product for Export service?,"Certificates of pharmaceutical Products are valid for one year, provided that the validity period of registration of the product does not exceed five years."
What are the required documents for the Issue of a Certificate of a Pharmaceutical Product for Export service?,"Product composition certificate, including the active and inactive substances and their quantities, signed and stamped by the authorized person; Insert leaflet of the product, approved by the Ministry of Health and Prevention, and signed and stamped by the authorized person."
What is the processing time for the Registration of A Manufacturer of Medical Products service?,2 to 4 weeks
What are the fees for the Registration of A Manufacturer of Medical Products service?,"Application: AED 100; Registration of a medical products manufacturer: AED 10,000"
What is the processing time for the Registration of A Manufacturer of Medical Products service?,2 to 4 weeks
What are the requirements for Registration of A Manufacturer of Medical Products service?,The applicant must be a medical warehouse licensed by MOHAP and must have a valid license; Renewal of registration must be done every 5 years; Renewal of registration will be at the same fees and procedures; Manufacturing Site Should have a Marketing Authorization Holder (Legal Manufacturer) & it should be registered with MOHAP.
What are the fees for the Registration of Pharmaceutical Product for General Sale service?,"Application: AED 100; Registration of a pharmaceutical product for general sale: AED 5,000"
What is the processing time for the Registration of Pharmaceutical Product for General Sale service?,45 working days
What are the requirements for the Registration of Pharmaceutical Product for General Sale service?,Marketing Authorization Holder companies must be registered by MOHAP before they could register their products; The applicant must be a medical warehouse licensed by the Ministry of Health and have a valid license.
What are the fees for the Renewal of the Registration of a Manufacturer of Medical Products service?,"Application: AED 100; Registration of medical products manufacturer: AED 10,000"
What is the processing time for the Renewal of the Registration of a Manufacturer of Medical Products service?,2 to 4 weeks
What are the requirements for Renewal of the Registration of a Manufacturer of Medical Products service?,The applicant must be a medical warehouse licensed by MOHAP and must have a valid license; Renewal of registration must be done every 5 years; Renewal of registration will be at the same fees and procedures.
What are the fees for Registration of A Manufacturer of Medical Products service?,"Application: AED 100; Registration of a medical products manufacturer: AED 10,000"
What is the processing time for Registration of A Manufacturer of Medical Products service?,2 to 4 weeks
What are the requirements for Registration of A Manufacturer of Medical Products service?,The applicant must be a medical warehouse licensed by MOHAP with a valid license. Renewal is every 5 years at the same fees and procedures. The Manufacturing Site should have a Marketing Authorization Holder (MAH) registered with MOHAP.
What are the fees for Registration of Pharmaceutical Product for General Sale service?,"Application: AED 100; Registration of a pharmaceutical product for general sale: AED 5,000"
What is the processing time for Registration of Pharmaceutical Product for General Sale service?,45 working days
What are the requirements for Registration of Pharmaceutical Product for General Sale service?,Marketing Authorization Holder companies and product manufacturing sites must be registered with MOHAP before registering their products. The applicant must be a medical warehouse licensed by MOHAP with a valid license.
What are the fees for Renewal of the Registration of a Manufacturer of Medical Products service?,"Application: AED 100; Registration of medical products manufacturer: AED 10,000"
What is the processing time for Renewal of the Registration of a Manufacturer of Medical Products service?,2 to 4 weeks
What are the requirements for Renewal of the Registration of a Manufacturer of Medical Products service?,The applicant must be a medical warehouse licensed by MOHAP with a valid license. Renewal is required every 5 years at the same fees and procedures.
What are the fees for the Re-licensing of Licenses for Nurses and Medical Professionals service?,"Application fee: AED 100; License to practice: AED 1,000"
What is the processing time for the Re-licensing of Licenses for Nurses and Medical Professionals service?,3 working days
What are the requirements for Re-licensing of Licenses for Nurses and Medical Professionals service?,A certificate of functional fitness from the Department of Preventive Medicine is required if the applicant is 60 years or older.
What are the required documents for Re-licensing of Licenses for Nurses and Medical Professionals service?,Valid assessment certificate; Certificates of recent experience from the employer; Certificate of good conduct; Letter of authorization request from the facility; Job offer; List of doctors and technicians licensed to work in the facility; Copy of valid passport; Recent passport-size photo with white background; Copy of valid residence license; Copy of valid Emirates ID card; Employment contract; Business card; Insurance against medical errors.
What are the fees for the Licensing of a Visiting Foreign Doctor service?,"Application fees: AED 100; License for visiting physician: AED 3,000"
What is the processing time for the Licensing of a Visiting Foreign Doctor service?,5 working days
What are the requirements for the Licensing of a Visiting Foreign Doctor service?,Visiting doctors may work in no more than two entities.
What are the required documents for Licensing of a Visiting Foreign Doctor service?,An application letter submitted by the facility to license the visiting doctor; Job offer; Copy of permanent license; Plan of the facility approved by MOHAP engineers; Certificate of experience; Insurance against medical errors; Facility license; List of licensed doctors and technicians in the facility; Letter of undertaking from the doctor with the number of licenses; License of the doctor responsible for following up cases.
What are the fees for the Request for a Price List of Registered Medications service?,Price list of medicines and products in the UAE: AED 500
What is the processing time for the Request for a Price List of Registered Medications service?,3 to 5 working days
What are the requirements for Request for a Price List of Registered Medications service?,Request the list through MOHAP official website and pay the required fees.
What are the required documents for Request for a Price List of Registered Medications service?,Official letter of request for the list of medicines addressed to the Director of the Pharmaceutical Department on the company's letterhead.
What are the fees for Issue of Permit to Export Precursors Chemicals service?,Application fee: AED 100; Export Permit fee: AED 500
What is the processing time for Issue of Permit to Export Precursors Chemicals service?,3 working days
What are the requirements for Issue of Permit to Export Precursors Chemicals service?,MOHAP Registration Certificate and Trade License must be valid; Valid Permit and detailed material information must be provided by an authorized person; Ministry of Interior's prior approval must be obtained; Permit must be valid for at least two months from issuance.
What are the required documents for Issue of Permit to Export Precursors Chemicals service?,"Valid Commercial/Industrial license for trading of precursor chemicals; Purchase order from the importer; Purchase invoice issued from country of origin; Packing list, including net and gross weight; MOHAP Registration Certificate for trading of precursor chemicals."
What are the fees for Re-licensing of a Doctor service?,"Application fees: AED 100; Re-licensing of a doctor: AED 3,000"
What is the processing time for Re-licensing of a Doctor service?,3 working days
What are the requirements for Re-licensing of a Doctor service?,The facility must have one registered nurse for every two doctors employed; A certificate of medical fitness from the Department of Preventive Medicine is required if the doctor is 60 years or older.
What are the required documents for Re-licensing of a Doctor service?,Letter from the facility requesting re-licensing; Doctor's contract of employment; Copy of the doctor's valid license; Assessment certificate; Facility's plan; Certificate of good conduct; Medical fitness certificate (if the doctor is 60 years or older).
What are the fees for the Renewal of Registration of a Pharmaceutical Product for General Sale service?,"Application: AED 100; Renewal of registration: AED 2,500"
What is the processing time for the Renewal of Registration of a Pharmaceutical Product for General Sale service?,15 working days
What are the requirements for the Renewal of Registration of a Pharmaceutical Product for General Sale service?,Marketing Authorization Holder companies must be registered with MOHAP before registering products; The applicant must be a medical warehouse licensed by MOHAP with a valid license.
What are the fees for the Registration of a Conventional Pharmaceutical Product service?,"Application: AED 100; Registration: AED 7,000; Analysis or re-analysis: AED 3,500; Pricing certificate: AED 500; PV plan evaluation: AED 1,000"
What is the processing time for the Registration of a Conventional Pharmaceutical Product service?,45 working days
What are the requirements for the Registration of a Conventional Pharmaceutical Product service?,Marketing Authorization Holder companies must be registered by MOHAP before they could register their products. The applicant must be a medical warehouse licensed by the Ministry of Health and have a valid license.
What are the fees for Request for a List of Licensed Pharmaceutical Facilities in the UAE service?,AED 300 for each request
What is the processing time for Request for a List of Licensed Pharmaceutical Facilities in the UAE service?,3 working days
What are the required documents for Request for a List of Licensed Pharmaceutical Facilities in the UAE service?,A request letter explaining the reason for requesting the list.
What are the fees for the Analyze/ Re-Analysis of a Medical Product for A Pharmaceutical Company and Its Subsidiaries service?,"AED 3,000"
What is the processing time for the Analyze/ Re-Analysis of a Medical Product for A Pharmaceutical Company and Its Subsidiaries service?,A maximum of 30 working days from the date of receiving samples and analysis requirements.
What is the purpose of the Analyze/ Re-Analysis of a Medical Product for A Pharmaceutical Company and Its Subsidiaries service?,"This service allows the analysis of medical products to ensure that their ingredients, active substance and preservatives are suitable for use."
What are the conditions and requirements for the Analyze/ Re-Analysis of a Medical Product for A Pharmaceutical Company and Its Subsidiaries service?,"The technical file should consist of three main parts: analysis, stability study, and bioavailability and equivalence study (for chemical and biopharmaceuticals only), and should be submitted to the Drug Registration Department. The drug's uses should be clarified. The quantity of the sample should be sufficient, as per the requirements of the pharmaceutical form."
What is the service completion duration for requesting to publish a research paper?,"5 working days, depending on the study type and size"
What are the fees for requesting to publish a research paper?,Free
What are the conditions and requirements for requesting to publish a research paper?,Approvals from the competent authorities must be obtained prior to conducting the research. Research must be conducted within the UAE.
What are the fees for applying for Healthy Restaurant Accreditation?,Free
What is the service completion duration for applying for Healthy Restaurant Accreditation?,30 working days
What are the conditions and requirements for applying for Healthy Restaurant Accreditation?,"The restaurant must have a fixed location and offer integrated services, have complete local control and authority in decision-making regarding the restaurant’s menu, hold a valid local trade license, and have received no more than two violation notifications over the past year from regulatory authorities, such as municipalities."
What are the fees for Reporting adverse events of medical products from medical companies?,Free
What is the service completion duration for reporting adverse events of medical products from medical companies?,3 working days
What are the conditions and requirements for reporting adverse events of medical products from medical companies?,"The report should list all required patient data, state all required data of the writer, define the required drug data, and clearly state the side effects experienced from the drug."
What are the fees for a License for a Healthcare Advertisement on a Website or Digital Link?,"Application: AED 100. License: AED 1,000 per month and AED 3,000 per year."
What is the service completion duration for a License for a Healthcare Advertisement on a Website or Digital Link?,1-3 working days
What are the fees for the Renewal of a Healthcare Program?,"Application: AED 100. License of an audio or audiovisual healthcare program: AED 1,200 per month and AED 12,000 per year. License for participation in an audio healthcare program: AED 800 per month and AED 8,000 per year. License for participation in an audiovisual healthcare program: AED 900 per month and AED 9,000 per year. Note: Renewal fees are same as new licenses"
What is the service completion duration for the Renewal of a Healthcare Program?,1-3 working days
What are the fees for Licensing of Pharmacists?,"Application fee: AED 100. License to practice pharmacy: AED 1,000"
What is the service completion duration for Licensing of Pharmacists?,5 working days
What are the conditions and requirements for Licensing of Pharmacists?,At least two years of experience is required. There should be no more than a two-year gap in the applicant's work record. The assessment certificate is valid for five years only. Physicians and technicians must have at least four months of clinical experience in addition to CME hours (as per the period of non-practice).
What are the fees for Renew License of healthcare advertisement for a Licensed Healthcare Institution in the UAE?,"Application: AED 100. Fees for licensing healthcare advertisements depend on the category of the advertising facility's activity (clinic, healthcare center, hospital etc.) and the type of advertisement (print, audio, audiovisual). Refer to the attached schedule of fees."
What is the service completion duration for Renew License of healthcare advertisement for a Licensed Healthcare Institution in the UAE?,1-3 working days
What are the fees for Request for a register for controlled or semi-controlled drugs custody?,Register Fee: AED 300
What is the service completion duration for Request for a register for controlled or semi-controlled drugs custody?,3 working days
What are the conditions and requirements for Request for a register for controlled or semi-controlled drugs custody?,The healthcare facility must hold a valid license.
What are the fees for Cancellation of a Pharmaceutical Facility's License?,Cancellation of a pharmacy license: AED 100
What is the service completion duration for Cancellation of a Pharmaceutical Facility's License?,3 working days
What are the conditions and requirements for Cancellation of a Pharmaceutical Facility's License?,"Fines, if any, must be paid. Licenses of the facility's pharmacists must be cancelled or transferred before the facility can cancel its license."
What are the fees for Renewal of Registration of a Conventional Pharmaceutical Product?,"Application: AED 100. Registration of a conventional biological pharmaceutical product: AED 3,500"
What is the service completion duration for Renewal of Registration of a Conventional Pharmaceutical Product?,5 working days
What are the conditions and requirements for Renewal of Registration of a Conventional Pharmaceutical Product?,Marketing Authorization Holder companies must be registered by MOHAP before they could register their products. The applicant must be a medical warehouse licensed by the Ministry of Health and have a valid license.
What are the fees for Verification of Registration of a Nursing Certificate Issued Outside UAE?,AED 100
What is the service completion duration for Verification of Registration of a Nursing Certificate Issued Outside UAE?,Instant
What are the fees for a License for a Healthcare Advertisement through Call Centers?,"Application: AED 100. Monthly license: AED 1,000 per month. Annual license: AED 10,000 per year."
What is the service completion duration for a License for a Healthcare Advertisement through Call Centers?,1-3 working days
What are the fees for Renewal of Registration Certificate for Medical Professional?,"Application fees: AED 250. Registration card: AED 150. Verification of certificates for government employees: AED 300. DataFlow services fees to verify academic certificates for employees of the private sector: AED 1,200."
What is the service completion duration for Renewal of Registration Certificate for Medical Professional?,"The time required to complete the service is 30 working days, allocated as follows: Submission of required documents via the website: 30 to 45 minutes. Issue of link to pay the certificate verification fees (DataFlow): 7 working days. Issue of Dataflow approval of personal profile: 7 working days. Profile referral to specialists for document verification and referral to examinations: 7 working days. Submission and activation of Prometric exam link to book examination dates: 2 working days."
What are the fees for Renewal License for a Healthcare Advertisement through Call Centers?,"Application: AED 100. Monthly license: AED 1,000 per month. Annual license: AED 10,000 per year. Note: The fees to renew health advertisements are the same as those for new licenses; there is no annual license renewal and, therefore, new applications are required."
What is the service completion duration for Renewal License for a Healthcare Advertisement through Call Centers?,1-3 working days
What are the fees for Changing the Professional Titles of Nursing Practitioners and Medical Professionals?,Application fees: AED 100.
What is the service completion duration for Changing the Professional Titles of Nursing Practitioners and Medical Professionals?,3 working days
What are the fees for Renewal of a Healthcare Advertisement License for non Healthcare Institution?,"Application: AED 100. Fees for licensing healthcare advertisements depend on the category of the advertising facility's activity (clinic, healthcare center, hospital, etc.) and the type of advertisement (print, audio, audiovisual). Refer to the attached schedule of fees."
What is the service completion duration for Renewal of a Healthcare Advertisement License for non Healthcare Institution?,1-3 working days
What are the fees for Issue of a Certificate of Accreditation for a Center of Clinical Studies or Bioequivalence?,"Approval certificate: AED 2,000"
What is the service completion duration for Cancellation of Licenses for Nurses and Medical Professionals?,3 working days
What are the fees for Cancellation of Licenses for Nurses and Medical Professionals?,Application fees: AED 100
What are the conditions and requirements for Cancellation of Licenses for Nurses and Medical Professionals?,Any outstanding fines must be paid.
What are the fees for Issue of Permit to Import Chemical Precursors?,Application fee: AED 100. Fees for importing precursor chemicals: 1% of the invoice value and a minimum of AED 200 for each permit.
What is the service completion duration for Issue of Permit to Import Chemical Precursors?,3 working days
What are the conditions and requirements for Issue of Permit to Import Chemical Precursors?,MOHAP Registration Certificate and Trade License must be valid. Permit and detailed information about the material required by the authorized and accredited officer must be provided. Ministry of Interior's prior approval for chemical precursors must be obtained. Permit must be valid for two months from the date of issuance.
What are the fees for License for Nursing and Medical Professionals?,"Application fee: AED 100. License to practice nursing, medicine or alternative medicine: AED 1,000"
What is the service completion duration for License for Nursing and Medical Professionals?,3 working days
What are the conditions and requirements for License for Nursing and Medical Professionals?,Applicant must have at least two years of experience. A gap in the work record may not exceed two years. The assessment certificate is valid for five years. A certificate of functional fitness from the Department of Preventive Medicine is required if the applicant is aged 60 or older. DataFlow report should be 'positive' or 'not verified'.
What are the fees for Registration/ Renewal of Chemical Precursor Companies?,"Application fees: AED 100. Registration of a chemical precursor company: AED 10,000. Renewal of Registration of a chemical precursor company: AED 5,000"
What is the service completion duration for Registration/ Renewal of Chemical Precursor Companies?,"3 working days to issue the registration certificate from the Ministry of Health and Prevention, following the issuance of security approval from the Ministry of Interior, which takes 4-6 weeks."
What are the conditions and requirements for Registration/ Renewal of Chemical Precursor Companies?,"Commercial license, industrial license and Chamber of Commerce and Industry certificates must be valid for at least 3 months. Application will be approved by the Ministry of Interior after audit and inspection have been conducted."
What are the fees for Cancellation of a License to Practice as a Pharmacist?,Application fees: AED 100
What is the service completion duration for Cancellation of a License to Practice as a Pharmacist?,5 working days
What are the fees for Request price list for controlled or semi-controlled medicines?,Price List Fee: AED 200
What is the service completion duration for Request price list for controlled or semi-controlled medicines?,1 to 5 working days
What are the fees for Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution?,Application Fee: AED 100
What is the service completion duration for Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution?,One hour
What are the conditions and requirements for Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution?,The quantities of drugs expected to be used annually should be determined.
What are the fees for Registration of A Pharmaceutical Product Derived from Natural Sources?,"Application: AED 100. Registration of a pharmaceutical product derived from natural sources: AED 5,000"
What is the service completion duration for Registration of A Pharmaceutical Product Derived from Natural Sources?,45 working days
What are the conditions and requirements for Registration of A Pharmaceutical Product Derived from Natural Sources?,Marketing Authorization Holder companies must be registered by MOHAP before they could register their products. The applicant must be a medical warehouse licensed by the Ministry of Health and have a valid license.
What are the fees for License for a Healthcare Program?,"Application: AED 100. License of an audio or audiovisual healthcare program: AED 1,200 per month and AED 12,000 per year. License for participation in an audio healthcare program: AED 800 per month and AED 8,000 per year. License for participation in an audiovisual healthcare program: AED 900 per month and AED 9,000 per year."
What is the service completion duration for License for a Healthcare Program?,1–3 working days
